county,fips,court_id,judge_name,address,coa_districts,coa_local_districts,coa_has_local_overlap
Milam,48331,tx_ccc_48331,Bill Whitmire,"102 S. Fannin, Ste. 1, Cameron 76520","[3, 15]",[3],False
Mills,48333,tx_ccc_48333,Jett Johnson,"P.O. Box 483, Goldthwaite 76844","[3, 15]",[3],False
Mitchell,48335,tx_ccc_48335,Mike Redwine,"349 Oak St., Rm. 200, Colorado City 79512","[11, 15]",[11],False
Montague,48337,tx_ccc_48337,Kevin Benton,"P.O. Box 475, Montague 76251","[2, 15]",[2],False
Montgomery,48339,tx_ccc_48339,Mark J Keough,"501 N. Thompson, #401, Conroe 77301","[9, 15]",[9],False
Moore,48341,tx_ccc_48341,"Johnnie ""Rowdy"" Rhoades","715 S. Dumas Ave., Rm. 202, Dumas 79029","[7, 15]",[7],False
Morris,48343,tx_ccc_48343,Doug Reeder,"500 Broadnax Street, Ste. B, Daingerfield 75638","[6, 15]",[6],False
Motley,48345,tx_ccc_48345,James B. Meador,"701 Main & Dundee, Matador 79244","[7, 15]",[7],False
Nacogdoches,48347,tx_ccc_48347,Greg Sowell,"101 W. Main St., Suite 170, Nacogdoches 75961","[12, 15]",[12],False
Navarro,48349,tx_ccc_48349,"H.M. Davenport, Jr.","800 N. Main, Corsicana 75110","[10, 15]",[10],False
Newton,48351,tx_ccc_48351,Ronnie Cochran,"P.O. Box J, Newton 75966","[9, 15]",[9],False
Nolan,48353,tx_ccc_48353,George Whitley May,"100 E. 3rd, Suite 110, Sweetwater 79556","[11, 15]",[11],False
Nueces,48355,tx_ccc_48355,Connie Scott,"901 Leopard St., Rm 303, Corpus Christi 78401","[13, 15]",[13],False
Ochiltree,48357,tx_ccc_48357,Charles Kelly,"511 S. Main, Perryton 79070","[7, 15]",[7],False
Oldham,48359,tx_ccc_48359,Shawn Ballew,"P.O. Box 195, Vega 79092","[7, 15]",[7],False
Orange,48361,tx_ccc_48361,John H. Gothia,"123 South 6th St., Orange 77630","[9, 15]",[9],False
Palo Pinto,48363,tx_ccc_48363,Shane Long,"P.O. Box 190, Palo Pinto 76484","[11, 15]",[11],False
Panola,48365,tx_ccc_48365,Rodger G. McLane,"110 S. Sycamore St., Room 216-A, Carthage 75633","[6, 15]",[6],False
Parker,48367,tx_ccc_48367,Pat Dean,"1 Courthouse Square, Weatherford 76086","[2, 15]",[2],False
Parmer,48369,tx_ccc_48369,Isabel Izzy Carrasco,"P.O. Box 506, Farwell 79325","[7, 15]",[7],False
Pecos,48371,tx_ccc_48371,Joe Shuster,"103 W. Callaghan, Fort Stockton 79735","[8, 15]",[8],False
Polk,48373,tx_ccc_48373,Syndney Brown Murphy,"101 W. Church St., Ste 300, Livingston 77351","[9, 15]",[9],False
Potter,48375,tx_ccc_48375,Nancy Tanner,"500 S. Fillmore, Rm. 103, Amarillo 79101","[7, 15]",[7],False
Presidio,48377,tx_ccc_48377,Jose Portillo Jr.,"P.O. Box 606, Marfa 79843","[8, 15]",[8],False
Rains,48379,tx_ccc_48379,Linda Wallace,"167 E. Quitman St., Ste. 102, Emory 75440","[12, 15]",[12],False
